Questions,Answers,Labels
Explain the working of dendrogram in the agglomerative Hierarchical Clustering Algorithm.,"Step by step working of the algorithm:
Step-1: Firstly, the data points P2 and P3 merged together and form a cluster, correspondingly a dendrogram is created, which connects P2 and P3 with a rectangular shape. The height is decided according to the Euclidean distance between the data points.
Step-2: In the next step, P5 and P6 form a cluster, and the corresponding dendrogram is created. It is higher than the previous, as the Euclidean distance between P5 and P6 is a little bit greater than the P2 and P3.
Step-3: Again, two new dendrograms are formed that combine P1, P2, and P3 in one dendrogram, and P4, P5, and P6, in another dendrogram.
Step-4: At last, the final dendrogram is formed that combines all the data points together.",Hierarchial
Explain the different parts of dendrograms in the Hierarchical Clustering Algorithm.,"A dendrogram can be understood as a column graph or a row graph. Some dendrograms are circular or have a fluid shape, but the software will usually produce a row or column graph. No matter what the shape, the basic graph consists of clades and leaves.
For arranging the Clades (branch), take the help of how similar (or dissimilar) they are. Clades that are having or close to the same height are similar to each other; whereas clades with different heights are dissimilar from each other, which implies that the more the value of the difference in height, the more will be dissimilar. Each clade has one or more leaves. Theoretically, a clade can have an infinite amount of leaves but the more leaves we have, the harder the dendrogram will be to read and understand with the help of naked eyes.",Hierarchial
How can you find the clusters to have upon looking at the dendrogram?,"In a dendrogram, look for the largest vertical line which doesn’t cross any horizontal line. With the help of this line, we can draw a horizontal line and then, the points where this horizontal line cross over the various vertical lines, we count all those intersecting points, and then count of intersecting points is the ideal answer for the number of clusters the dataset can have.",Hierarchial
What is Space and Time Complexity of the Hierarchical Clustering Algorithm?,"Space complexity: Hierarchical Clustering Technique requires very high space when the number of observations in our dataset is more since we need to store the similarity matrix in the RAM. So, the space complexity is the order of the square of n.
Space complexity = O(n²) where n is the number of observations.
Time complexity: Since we have to perform n iterations and in each iteration, we need to update the proximity matrix and also restore that matrix, therefore the time complexity is also very high. So, the time complexity is the order of the cube of n.
Time complexity = O(n³) where n is the number of observations.",Hierarchial
List down some of the possible conditions for producing two different dendrograms using an agglomerative Clustering algorithm with the same dataset.,The given situation happens due to either Change in Proximity function or Change in the number of data points or variables. These changes will lead to different Clustering results and hence different dendrograms.,Hierarchial
"For the dendrogram given below, find the most appropriate number of clusters for the data points of the given dataset.",To take the decision for the number of clusters that can best depict different clusters can be chosen by carefully observing the dendrogram formed during the algorithm run. The best choice of the number of clusters is the number of vertical lines in the dendrogram intersect by a horizontal line that can transverse the maximum distance vertically without intersecting a cluster.,Hierarchial
What are the conditions to stop combining the clusters in the Hierarchical Clustering Algorithm?,"Some of the popular approaches to stop combining the clusters are as follows:
Approach 1: Pick several clusters(k) upfront
When we don’t want to form, for example, 250 clusters, then we choose the K value. Therefore, we decide the number of clusters (say, the first five or six) required in the beginning, and we complete the process when we reach the value K. This is done so that we can put a limit on the incoming information. It becomes very important especially when we are feeding it into another algorithm that probably requires three or four values.
Possible challenges: This approach only makes sense when you know the data well or you have some domain knowledge when you’re clustering with K clusters. But if you’re analyzing a brand new dataset, then you may not know how many clusters we are required.
Approach 2: Stop combining the clusters when the next merging of clusters would form a cluster with low cohesion.
We keep clustering until the next combination of clusters gives a bad cluster with a low cohesion setup. This implies that the points are so close to being in both the clusters that it doesn’t make sense to keep them together.
Approach 3:
Approach 3.1: Diameter of a cluster
The diameter of a cluster is defined as the maximum distance between any pair of observations in the cluster.
We stop combining the clusters when the diameter of a new cluster formed exceeds the threshold. Moreover, we don’t want the two clusters to overlap as the diameter increases.
Approach 3.2: Radius of a cluster
The radius of a cluster is defined as the maximum distance of a point from the centroid.
We stop combining the clusters when the radius of a new cluster formed exceeds the threshold(decided by the user itself according to the problem statement).",Hierarchial
How to Find the Optimal Number of Clusters in Agglomerative Clustering Algorithm?,"To find the optimal number of clusters, Silhouette Score is considered to be one of the popular approaches. This technique measures how close each of the observations in a cluster is to the observation in its neighboring clusters. The range of the Silhouette Scores is from -1 to +1. Higher the value of the Silhouette Score indicates observations are well clustered.
Silhouette Score = 1 describes that the data point (i) is correctly and well-matched in the cluster assignment.",Hierarchial
How can we measure the goodness of the clusters in the Hierarchical Clustering Algorithm?,"There are many measures to find the goodness of clusters but the most popular one is the Dunn’s Index. Dunn’s index is defined as the ratio of the minimum inter-cluster distances to the maximum intra-cluster diameter and the diameter of a cluster is calculated as the distance between its two furthermost points i.e, maximum distance from each other.",Hierarchial
What are the advantages and disadvantages of the Hierarchical Clustering Algorithm?,"Advantages of Hierarchical Clustering:
We can obtain the optimal number of clusters from the model itself, human intervention not required.
Dendrograms help us in clear visualization, which is practical and easy to understand.
Disadvantages of Hierarchical Clustering:
Not suitable for large datasets due to high time and space complexity.
There is no mathematical objective for Hierarchical clustering.
All the approaches to calculate the similarity between clusters has their own disadvantages.",Hierarchial
What is K means Clustering Algorithm?,K Means algorithm is a centroid-based clustering (unsupervised) technique. This technique groups the dataset into k different clusters having an almost equal number of points. Each of the clusters has a centroid point which represents the mean of the data points lying in that cluster. The idea of the K-Means algorithm is to find k-centroid points and every point in the dataset will belong to either of the k-sets having minimum Euclidean distance.,k_means
What is Lloyd's algorithm for Clustering?,"It is an approximation iterative algorithm that is used to cluster the data points. The steps of this algorithm are as follows:
1. Initialization
2. Assignment
3. Update Centroid
4. Repeat Steps 2 and 3 until convergence
Step-1:  Randomly initialized k-centroids from the data points.
Step-2: For each observation in the dataset, calculate the euclidean distance between the point and all centroids. Then, assign a particular observation to the cluster with the nearest centroid.
Step-3: Now, observations in the clusters are changed. Therefore, update the value of the centroid with the new mean(average of all observations)value.
Step-4: Repeat steps 2 and 3 until the algorithm converges. If convergence is achieved then break the loop. Convergence refers to the condition where the previous value of centroids is equal to the updated value after the algorithm run.",k_means
Is Feature Scaling required for the K means Algorithm?,"Yes, K-Means typically needs to have some form of normalization done on the datasets to work properly since it is sensitive to both the mean and variance of the datasets. For performing feature scaling, generally, StandardScaler is recommended, but depending on the specific use cases, other techniques might be more suitable as well.
For Example, let’s have 2 variables, named age and salary where age is in the range of 20 to 60 and salary is in the range of 100-150K, since scales of these variables are different so when these variables are substituted in the euclidean distance formula, then the variable which is on the large scale suppresses the variable which is on the smaller scale. So, the impact of age will not be captured very clearly. Hence, you have to scale the variables to the same range using Standard Scaler, Min-Max Scaler, etc.",k_means
Why do you prefer Euclidean distance over Manhattan distance in the K means Algorithm?,"Euclidean distance is preferred over Manhattan distance since Manhattan distance calculates distance only vertically or horizontally due to which it has dimension restrictions. On the contrary, Euclidean distance can be used in any space to calculate the distances between the data points. Since in K means algorithm the data points can be present in any dimension, so Euclidean distance is a more suitable option.",k_means
Why is the plot of the within-cluster sum of squares error (inertia) vs K in K means clustering algorithm elbow-shaped? Discuss if there exists any other possibility for the same with proper explanation.,"Say, we have 10 different data points present, now consider the different cases:
k=10: For the max value of k, all points behave as one cluster. So, within the cluster sum of squares is zero since only one data point is present in each of the clusters. So, at the max value of k, this should tend to zero.
K=1: For the minimum value of k i.e, k=1, all these data points are present in the one cluster, and due to more points in the same cluster gives more variance i.e, more within-cluster sum of squares.
Between K=1 from K=10: When you increase the value of k from 1 to 10, more points will go to other clusters, and hence the total within the cluster sum of squares (inertia) will come down. So, mostly this forms an elbow curve instead of other complex curves. Hence, we can conclude that there does not exist any other possibility for the plot.",k_means
Which metrics can you use to find the accuracy of the K means Algorithm?,"There does not exist a correct answer to this question as k means being an unsupervised learning technique does not discuss anything about the output column. As a result, one can not get the accuracy number or values from the algorithm directly.",k_means
What is a centroid point in K means Clustering?,Centroid point is the point that acts as a representative of a particular cluster and is the average of all the data points in the cluster which changes in each step (until convergence),k_means
Does centroid initialization affect K means Algorithm?,"Yes, the final results of the k means algorithm depend on the centroid initialization as poor initialization can cause the algorithm to get stuck into an inferior local minimum.",k_means
Discuss the optimization function for the K means Algorithm.,"The objective of the K-Means algorithm is to find the k (k=no of clusters) number of centroids from C1, C2,——, Ck which minimizes the within-cluster sum of squares i.e, the total sum over each cluster of the sum of the square of the distance between the point and its centroid. This cost comes under the NP-hard problem and therefore has exponential time complexity. So we come up with the idea of approximation using Lloyd’s Algorithm.",k_means
What are the advantages and disadvantages of the K means Algorithm?,"Advantages:
Easy to understand and implement.
Computationally efficient for both training and prediction.
Guaranteed convergence.
Disadvantages:
We need to provide the number of clusters as an input variable to the algorithm.
It is very sensitive to the initialization process.
Good at clustering when we are dealing with spherical cluster shapes, but it will perform poorly when dealing with more complicated shapes.
Due to the leveraging of the euclidean distance function, it is sensitive to outliers.",k_means
What are the challenges associated with K means Clustering?,"The major challenge associated with k means clustering is its initialization sensitivity. While finding the initial centroids for K-Means clustering using Lloyd’s algorithm, we were using randomization i.e, initial k-centroids were picked randomly from the data points. This Randomization in picking the k-centroids creates the problem of initialization sensitivity which tends to affect the final formed clusters. As a result, the final formed clusters depend on how initial centroids were picked.",k_means
What are the ways to avoid the problem of initialization sensitivity in the K means Algorithm?,"There are two ways to avoid the problem of initialization sensitivity:
Repeat K means: It basically repeats the algorithm again and again along with initializing the centroids followed by picking up the cluster which results in the small intracluster distance and large intercluster distance.
K Means++: It is a smart centroid initialization technique.
Amongst the above two techniques, K-Means++ is the best approach.",k_means
What is the difference between K means and K means++ Clustering?,"In k-means, we randomly initialized the k number of centroids while in the k-means++ algorithm, firstly we initialized 1 centroid and for other centroids, we have to ensure that the next centroids are very far from the initial centroids which result in a lower possibility of the centroid being poorly initialized. As a result, the convergence is faster in K means++ clustering. Moreover, in order to implement the k-means++ clustering using the Scikit-learn library, we set the parameters to init = kmeans++ instead of random.",k_means
How K means++ clustering Algorithm works?,"K Means++ algorithm is a smart technique for centroid initialization that initialized one centroid while ensuring the others to be far away from the chosen one resulting in faster convergence.
The steps to follow for centroid initialization are:
Step-1: Pick the first centroid point randomly.
Step-2: Compute the distance of all points in the dataset from the selected centroid     
Step-3: Make the point xi as the new centroid that is having maximum probability proportional to distance of xi from the farthest centroid
Step-4: Repeat the above last two steps till you find k centroids.",k_means
How to decide the optimal number of K in the K means Algorithm?,"In order to find the optimal value of k, we need to observe our business problem carefully, along with analyzing the business inputs as well as the person who works on that data so that a decent idea regarding the optimal number of clusters can be extracted. For Example, If we consider the data of a shopkeeper selling a product in which he will observe that some people buy things in summer, some in winter while some in between these two. So, the shopkeeper divides the customers into three categories. Therefore, K=3.
In cases where we do not get inference from the data directly we often use the following mentioned techniques:
Elbow Method – This method finds the point of inflection on a graph of the percentage of variance explained to the number of K and finds the elbow point.
Silhouette method – The silhouette method calculates similarity/dissimilarity score between their assigned cluster and the next best (i.e, nearest) cluster for each of the data points.
Moreover, there are also other techniques along with the above-mentioned ones to find the optimal no of k.",k_means
What is the training and testing complexity of the K means Algorithm?,"If we use Lloyd’s algorithm, the complexity for training is: “K*I*N*M” where,
K: It represents the number of clusters
I: It represents the number of iterations
N: It represents the sample size
M: It represents the number of variables
Conclusion: There is a significant Impact on capping the number of iterations. Predicting complexity in terms of Big-O notation: “K*N*M”",k_means
Is it possible that the assignment of data points to clusters does not change between successive iterations in the K means Algorithm?,"When the K-Means algorithm has reached the local or global minima, it will not change the assignment of data points to clusters for two successive iterations during the algorithm run.",k_means
Explain some cases where K means clustering fails to give good results.,"The K means clustering algorithm fails to give good results in the below-mentioned cases:
When the dataset contains outliers
When the density spread of data points across the data space is different.
When the data points follow a non-convex shape.",k_means
How to perform K means on larger datasets to make it faster?,"The idea behind this is mini-batch k means, which is an alternative to the traditional k means clustering algorithm that provides better performance for training on larger datasets. It leverages the mini-batches of data, taken at random to update the cluster mean with a decreasing learning rate. For each data batch, the points are all first assigned to a cluster and then means are re-calculated. The cluster centres are then further re-calculated using gradient descent. This algorithm provides faster convergence than the typical k-means, but with a slightly different cluster output.",k_means
What are the possible stopping conditions in the K means Algorithm?,"The following can be used as possible stopping conditions in K-Means clustering:
Max number of iterations has been reached: This condition limits the runtime of the clustering algorithm, but in some cases, the quality of the clustering will be poor because of an insufficient number of iterations.
When RSS(within-cluster sum of squares) falls below a threshold: This criterion ensures that the clustering is of the desired quality after termination. Practically in real-life problems, it’s a good practice to combine it with a bound on the number of iterations to guarantee convergence.
Convergence: Points stay in the same cluster i.e., the algorithm has converged at the minima.
Stability: Centroids of new clusters do not change.",k_means
What is the effect of the number of variables on the K means Algorithm?,"The number of variables going into K means the algorithm has an impact on both the time(during training) and complexity(upon application) along with the behaviour of the algorithm as well.
This is also related to the “Curse of dimensionality”. As the dimensionality of the dataset increases, more and more examples become nearest neighbours of xt, until the choice of nearest neighbour is effectively random. A key component of K means is that the distance-based computations are directly impacted by a large number of dimensions since the distances between a data point and its nearest and farthest neighbours can become equidistant in high dimension thereby resulting in reduced accuracy of distance-based analysis tools.
Therefore, we have to use the Dimensionality reduction techniques such as Principal component analysis (PCA), or Feature Selection Techniques.",k_means
Explain the Curse of Dimensionality?,"The curse of dimensionality refers to all the problems that arise working with data in the higher dimensions. As the number of features increase, the number of samples increases, hence, the model becomes more complex. The more the number of features, the more the chances of overfitting. A machine learning model that is trained on a large number of features, gets increasingly dependent on the data it was trained on and in turn overfitted, resulting in poor performance on real data, beating the purpose. The fewer features our training data has, the lesser assumptions our model makes and the simpler it will be.",PCA
Why do we need dimensionality reduction? What are its drawbacks?,"In Machine Learning, dimension refers to the number of features. Dimensionality reduction is simply, the process of reducing the dimension of your feature set.
Advantages of Dimensionality Reduction:
Less misleading data means model accuracy improves.
Fewer dimensions mean less computing. Less data means that algorithms train faster.
Less data means less storage space required.
Removes redundant features and noise.
Dimensionality Reduction helps us visualize the data on 2D plots or 3D plots.
Drawbacks of Dimensionality Reduction are:
Some information is lost, possibly degrading the performance of subsequent training algorithms.
It can be computationally intensive.
Transformed features are often hard to interpret.
It makes the independent variables less interpretable.",PCA
"Explain Principal Component Analysis, assumptions, equations.","Principal Component Analysis (PCA) is an unsupervised dimensionality reduction algorithm. It identifies the hyperplane that lies closest to the data, and then it projects the data onto it preserving the variance. PCA selects the axis which preserves maximum variance in the training set. PCA finds as many axes as the number of dimensions such that every axis is orthogonal to each other.
Assumptions:
There needs to be a linear relationship between all variables. The reason for this assumption is that a PCA is based on Pearson correlation coefficients, and as such, there needs to be a linear relationship between the variables
You should have sampling adequacy, which simply means that for PCA to produce a reliable result, large enough sample sizes are required.
Your data should be suitable for data reduction. Effectively, you need to have adequate correlations between the variables to be reduced to a smaller number of components.
There should be no significant outliers.",PCA
Can PCA be used to reduce the dimensionality of a highly nonlinear dataset?,"PCA can be used to significantly reduce the dimensionality of most datasets, even if they are highly nonlinear because it can at least get rid of useless dimensions. However, if there are no useless dimensions, reducing dimensionality with PCA will lose too much information.",PCA
Limitations of PCA?,"1. Doesn’t work well for non linearly correlated data.
2. PCA always finds orthogonal principal components. Sometimes, our data demands non-orthogonal principal components to represent the data.
3. PCA always considered the low variance components in the data as noise and recommend us to throw away those components. But, sometimes those components play a major role in a supervised learning task.
4. If the variables are correlated, PCA can achieve dimension reduction. If not, PCA just orders them according to their variances",PCA
"Is rotation necessary in PCA? If yes, Why? What will happen if you do not rotate the components?","Yes, rotation (orthogonal) is necessary to account the maximum variance of the training set. If we don’t rotate the components, the effect of PCA will diminish and we’ll have to select more number of components to explain variance in the training set.",PCA
Is it important to standardize before applying PCA?,"PCA finds new directions based on the covariance matrix of original variables. Since the covariance matrix is sensitive to the standardization of variables. Usually, we do standardization to assign equal weights to all the variables. If we use features of different scales, we get misleading directions. But, it is not necessary to standardize the variables, if all the variables are on the same scale.",PCA
Should one remove highly correlated variables before doing PCA?,"No, PCA loads out all highly correlated variables on the same Principal Component(Eigenvector), not different ones.",PCA
What will happen when eigenvalues are roughly equal?,"If all eigenvectors are same then PCA won’t be able to select the principal components because in that case, all principal components are equal.",PCA
How can you evaluate the performance of a dimensionality reduction algorithm on your dataset?,"Intuitively, a dimensionality reduction algorithm performs well if it eliminates a lot of dimensions from the dataset without losing too much information. Alternatively, if you are using dimensionality reduction as a preprocessing step before another Machine Learning algorithm (e.g., a Random Forest classifier), then you can simply measure the performance of that second algorithm; if dimensionality reduction did not lose too much information, then the algorithm should perform just as well as when using the original dataset.",PCA
 What do you mean by Random Forest Algorithm?,"Random forest is an ensemble machine learning technique that averages several decision trees on different parts of the same training set, with the objective of overcoming the overfitting problem of the individual decision trees.

In other words, a random forest algorithm is used for both classification and regression problem statements that operate by constructing a lot of decision trees at training time.

Decision Tree vs. Random Forest - Which Algorithm Should you Use? |Bagging",Random_forest
Why is Random Forest Algorithm popular?,Random Forest is one of the most popular and widely used machine learning algorithms for classification problems. It can also be used for the regression problem statements but it mainly performs well on the classification model.,Random_forest
Can Random Forest Algorithm be used both for Continuous and Categorical Target Variables?,"Yes, Random Forest can be used for both continuous and categorical target (dependent) variables.

In a random forest i.e, the combination of decision trees, the classification model refers to the categorical dependent variable, and the regression model refers to the numeric or continuous dependent variable.",Random_forest
What do you mean by Bagging?,"Bagging, also known as Bootstrap-Aggregating, involves generating K’s new training data sets. Each new training data set picks a sample of data points with replacement (known as bootstrap samples) from the original data set.

By sampling with replacement, means some of the data points may be repeated in each new training data set. The K models are fitted using the K bootstrap samples formed and then for predictions we combined the result of all trees by averaging the output (for regression) or voting (for classification).

Bagging - (Bootstrap aggregating) :: InBlog",Random_forest
Explain the working of the Random Forest Algorithm.,"The steps that are included while performing the random forest algorithm are as follows:

Step-1: Pick K random records from the dataset having a total of N records.

Step-2: Build and train a decision tree model on these K records.

Step-3: Choose the number of trees you want in your algorithm and repeat steps 1 and 2.

Step-4: In the case of a regression problem, for an unseen data point, each tree in the forest predicts a value for output. The final value can be calculated by taking the mean or average of all the values predicted by all the trees in the forest.

and, in the case of a classification problem, each tree in the forest predicts the class to which the new data point belongs.",Random_forest
Why do we prefer a Forest (collection of Trees) rather than a single Tree?,"While building a machine learning model, our aim is to generalize the model properly for giving predictions on unseen data.

The problem of overfitting takes place when we have a flexible model. A flexible model is having high variance because the learned parameters like the structure of the decision tree, etc will vary with the training data. On the contrary, an inflexible model is said to have a high bias as it makes assumptions about the training data and an inflexible model may not have the capacity to fit even the training data and in both situations, the model has high variance, and high bias implies the model is not able to generalize new and unseen data points properly.

So, we have to build a model carefully by keeping the bias-variance tradeoff in mind.

The main reason for the overfitting of the decision tree due to not put the limit on the maximum depth of the tree is because it has unlimited flexibility, which means it keeps growing unless, for every single observation, there is one leaf node present.

Moreover, instead of limiting the depth of the tree which results in reduced variance and an increase in bias, we can combine many decision trees that eventually convert into a forest, known as a single ensemble model (known as the random forest).",Random_forest
What do you mean by Bootstrap Sample?,"Out-of-Bag is equivalent to validation or test data. In random forests, there is no need for a separate testing dataset to validate the result. It is calculated internally, during the algorithm run, in the following manner –

As the forest is built on training data, each tree is tested on 1/3rd of the samples (36.8%) that are not used in building that tree (similar to the validation data set).

This is known as the out-of-bag error estimate which in short is an internal error estimate of a random forest as it is being constructed.",Random_forest
What does random refer to in ‘Random Forest’?,"‘Random’ in Random Forest refers to mainly two processes –

Random observations to grow each tree.
Random variables selected for splitting at each node.
Random Record Selection: Each tree in the forest is trained on roughly 2/3rd of the total training data (exactly 63.2%) and here the data points are drawn at random with replacement from the original training dataset. This sample will act as the training set for growing the tree.

Random Variable Selection: Some independent variables(predictors) say, m are selected at random out of all the predictor variables, and the best split on this m is used to split the node.",Random_forest
List down the features of Bagged Trees.,"The main features of Bagged Trees are as follows:

1. Reduces variance by averaging the ensemble’s results.

2. The resulting model uses the entire feature space when considering node splits.

3. It allows the trees to grow without pruning, reducing the tree-depth sizes which result in high variance but lower bias, which can help improve the prediction power.",Random_forest
 What are the Limitations of Bagging Trees?,"The major limitation of bagging trees is that it uses the entire feature space when creating splits in the trees.

Suppose from all the variables within the feature space, some are indicating certain predictions, so there is a risk of having a forest of correlated trees, which actually increases bias and reduces variance. So, our objective is not achieved due to these issues.",Random_forest
 List down the factors on which the forest error rate depends upon.,"The forest error rate in Random forest depends on the following two factors:

1. How correlated the two trees in the forest are i.e, 

The correlation between any two different trees in the forest. Increasing the correlation increases the forest error rate.

2. How strong each individual tree in the forest is i.e, 

The strength of each individual tree in the forest. In a forest, a tree having a low error rate is considered a strong classifier. Increasing the strength of the individual trees eventually leads to a decrement in the forest error rate.

Moreover, reducing the value of mtry i.e, the number of random variables used in each tree reduces both the correlation and the strength. Increasing it increases both. So, in between, there exists an “optimal” range of mtry which is usually quite a wide range.

Using the OOB error rate, a value of mtry can quickly be found in the range. This parameter is only adjustable from which random forests are somewhat sensitive.",Random_forest
 How does a Random Forest Algorithm give predictions on an unseen dataset?,"After training the algorithm, each tree in the forest gives a classification on leftover data (OOB), and we say the tree “votes” for that class. Then finally, the forest chooses the classification having the most votes over all the trees in the forest.

For a binary dependent variable, the vote will be either YES or NO, and finally, it will count up the YES votes. This is the Random Forest (RF) score and the percent YES votes received is the predicted probability. In the regression case, it is the average of the dependent variable.

For example, suppose we fit 500 trees in a forest, and a case is out-of-bag in 200 of them:

160 trees vote class 1
40 trees vote class 2
In this case, the RF score is class1 since the probability for that case would be 0.8 which is 160/200. Similarly, it would be an average of the target variable for the regression problem.",Random_forest
How to determine the overall OOB score for the classification problem statements in a Random Forest Algorithm?,"For each tree, by using the leftover (36.8%) data, compute the misclassification rate, which is known as out of bag (OOB) error rate. Finally, we aggregate all the errors from all trees and we will determine the overall OOB error rate for the classification.

For Example, If we grow 300 trees then on average a record will be OOB for about 37*3 =111 trees.",Random_forest
How does random forest define the Proximity (Similarity) between observations?,"Random Forest defines proximity between two data points in the following way:

Initialize proximities to zeroes.
For any given tree, apply all the cases to the tree.
If case i and case j both end up in the same node, then proximity prox(ij) between i and j increases by one.
Accumulate over all trees in Random Forest and normalize by twice the number of trees in Random forest.
Finally, it creates a proximity matrix i.e, a square matrix with entry as 1 on the diagonal and values between 0 and 1 in the off-diagonal positions. Proximities are close to 1 when the observations are “alike” and conversely the closer proximity to 0, implies the more dissimilar cases are.",Random_forest
What is the use of proximity matrix in the random forest algorithm?,"A proximity matrix is used for the following cases :

Missing value imputation
Detection of outliers",Random_forest
 List down the parameters used to fine-tune the Random Forest.,"Two parameters that have to fine-tune to improve the predictions that are important in the random forest algorithm are as follows:

Number of trees used in the forest (n_tree)
Number of random variables used in each of the trees in the forest (mtry)",Random_forest
 How to find an optimal value of the hyperparameter “ n_tree”?,"To find an optimal value of n_tree, we first fix the value of mtry to the default value (sqrt of the total number of all predictors) and search for the optimal n_tree value.

To find the value of n_tree (number of trees) that corresponds to a stable classifier, we train random forest models with different values of n_tree such as (100, 200, 300….,1,000).

As a result, we have 10 Random Forest classifiers in our hand for each value of n_tree, record the OOB error rate and see that value of n_tree where the out-of-bag error rate stabilizes and reaches its minimum value.",Random_forest
 How to find an optimal value of the hyperparameter “mtry”?,"The following two ways can be used to find the optimal value of mtry :

1. Apply a similar procedure as in finding the optimal n_tree such that random forest is run 10 times. The optimal number of predictors selected for split is selected for which the out-of-bag error rate stabilizes and reaches the minimum.

2. In this method, we are doing the experiment by including the values such as the square root of the total number of all predictors, half of this square root value, and twice of the square root value, etc and at the same time check which value of mtry gives the maximum area under the curve.

For Example, Suppose we have 1000 predictors, then the number of predictors to select for each node would be 16, 32, and 64.",Random_forest
How do Random Forests select the Important Features?,"Sometimes random forests can also be used to determine the importance of variables i.e, rank in a regression or classification problem.

The factors that are used to find the rank of the variables are as follows:

Mean Decrease Accuracy: If we drop that variable, how much the model accuracy decreases.
Mean Decrease Gini: This measure of variable importance is used for the calculation of splits in trees based on the Gini impurity index.
Conclusion: The higher the value of mean decrease accuracy or mean decrease Gini score, the higher the importance of the variable in the model.",Random_forest
Explain the steps of calculating Variable Importance in Random Forest.,"The steps for calculating variable importance in Random Forest Algorithm are as follows:

1. For each tree grown in a random forest, find the number of votes for the correct class in out-of-bag data.

2. Now perform random permutation of a predictor’s values (let’s say variable-k) in the OOB data and then check the number of votes for the correct class. By “random permutation of a predictor’s values”, it means changing the order of values (shuffling).

3. At this step, we subtract the number of votes for the correct class in the variable-k-permuted data from the number of votes for the correct class in the original OOB data.

4. Now, the raw importance score for variable k is the average of this number over all trees in the forest. Then, we normalized the score by taking the standard deviation.

5. Variables having large values for this score are ranked as more important as building a current model without original values of a variable gives a worse prediction, which means the variable is important.",Random_forest
